juris_id,ecozone,canfi_species,genus,species,variety,a1,a2,a3,b1,b2,b3,c1,c2,c3,count
AB,4,100,PICE,SPP,NA,-4.069524,-0.0029697,0.5062346,-6.754172,-0.0095226,1.094078,0.6802207,0.0030908,-0.7032325,94
AB,4,101,PICE,MAR,NA,-1.46236,0.0032257,-0.1268144,-1.687938,-5.507e-4,-0.2285118,-0.2638057,0.0314033,-0.782653,4
AB,4,105,PICE,GLA,NA,-4.069524,-0.0029697,0.5062346,-6.754172,-0.0095226,1.094078,0.6802207,0.0030908,-0.7032325,94
AB,4,200,PINU,SPP,NA,10.31687,0.0242875,-3.206051,-15.23638,-0.0308422,3.47312,3.299958,0.0096525,-1.489882,9
AB,4,203,PINU,BAN,NA,10.31687,0.0242875,-3.206051,-15.23638,-0.0308422,3.47312,3.299958,0.0096525,-1.489882,9
AB,4,204,PINU,CON,NA,10.31687,0.0242875,-3.206051,-15.23638,-0.0308422,3.47312,3.299958,0.0096525,-1.489882,9
AB,4,204,PINU,CON,LAT,10.31687,0.0242875,-3.206051,-15.23638,-0.0308422,3.47312,3.299958,0.0096525,-1.489882,9
AB,4,206,PINU,ALB,NA,-0.8777844,0.0011272,-0.2963811,-0.5778987,0.0072881,-0.5907995,0.1672015,0.0054957,-0.7093111,46
AB,4,216,PINU,MUR,NA,10.31687,0.0242875,-3.206051,-15.23638,-0.0308422,3.47312,3.299958,0.0096525,-1.489882,9
AB,4,300,ABIE,SPP,NA,-1.000371,0.0019237,-0.2422341,1.020285,0.0030838,-0.6019995,0.3282367,0.0026063,-0.554543,38
AB,4,302,ABIE,BAL,NA,-1.000371,0.0019237,-0.2422341,1.020285,0.0030838,-0.6019995,0.3282367,0.0026063,-0.554543,38
AB,4,500,PSEU,MEN,NA,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,4,500,PSEU,MEN,MEN,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,4,500,PSEU,MEN,GLA,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,4,500,PSEU,SPP,NA,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,4,600,LARI,SPP,NA,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,4,601,LARI,DEC,NA,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,4,602,LARI,LAR,NA,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,4,603,LARI,OCC,NA,-2.161013,3.227e-4,0.0204651,-1.458815,5.336e-4,-0.1485879,-1.734942,5.368e-4,-0.2083722,633
AB,4,1200,POPU,SPP,NA,-0.7360142,8.489e-4,-0.2080342,-6.068531,-0.0073233,0.9091436,-7.975438,-0.0105587,1.27694,21
AB,4,1201,POPU,TRE,NA,-0.7360142,8.489e-4,-0.2080342,-6.068531,-0.0073233,0.9091436,-7.975438,-0.0105587,1.27694,21
AB,4,1203,POPU,BAL,NA,-0.5694063,0.0012656,-0.235651,0.0376201,0.0020969,-0.3387005,-5.988289,-0.0050448,0.6897327,4
AB,4,1203,POPU,BAL,BAL,-0.5694063,0.0012656,-0.235651,0.0376201,0.0020969,-0.3387005,-5.988289,-0.0050448,0.6897327,4
AB,4,1203,POPU,BAL,GLA,-0.5694063,0.0012656,-0.235651,0.0376201,0.0020969,-0.3387005,-5.988289,-0.0050448,0.6897327,4
AB,4,1204,POPU,TRI,NA,-0.5694063,0.0012656,-0.235651,0.0376201,0.0020969,-0.3387005,-5.988289,-0.0050448,0.6897327,4
AB,4,1205,POPU,DEL,NA,-0.5694063,0.0012656,-0.235651,0.0376201,0.0020969,-0.3387005,-5.988289,-0.0050448,0.6897327,4
AB,4,1205,POPU,DEL,DEL,-0.5694063,0.0012656,-0.235651,0.0376201,0.0020969,-0.3387005,-5.988289,-0.0050448,0.6897327,4
AB,4,1214,POPU,AGU,NA,-0.5694063,0.0012656,-0.235651,0.0376201,0.0020969,-0.3387005,-5.988289,-0.0050448,0.6897327,4
AB,4,1303,BETU,PAP,NA,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,4,1303,BETU,PAP,PAP,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,5,100,PICE,SPP,NA,-1.619452,9.733e-4,-0.0988202,-0.6090675,-9.805e-4,-0.2039749,-1.195725,-0.0021176,-0.1712661,403
AB,5,101,PICE,MAR,NA,-1.962642,-0.0025805,0.0964473,-1.162072,-0.0025745,-0.0407574,-2.373166,-0.0077735,0.3590638,81
AB,5,105,PICE,GLA,NA,-1.619452,9.733e-4,-0.0988202,-0.6090675,-9.805e-4,-0.2039749,-1.195725,-0.0021176,-0.1712661,403
AB,5,200,PINU,SPP,NA,-1.596728,-2.99e-5,-0.1297067,-0.123297,9.653e-4,-0.4400286,-1.624699,-0.0025082,-0.1218482,729
AB,5,203,PINU,BAN,NA,-1.210482,-5.965e-4,-0.2261727,-1.392068,-5.859e-4,-0.2044972,-0.8886665,-0.0030297,-0.3700746,30
AB,5,204,PINU,CON,NA,-1.596728,-2.99e-5,-0.1297067,-0.123297,9.653e-4,-0.4400286,-1.624699,-0.0025082,-0.1218482,729
AB,5,204,PINU,CON,LAT,-1.596728,-2.99e-5,-0.1297067,-0.123297,9.653e-4,-0.4400286,-1.624699,-0.0025082,-0.1218482,729
AB,5,216,PINU,MUR,NA,-1.593991,3.79e-5,-0.1330865,-0.7553959,3.32e-4,-0.297162,-1.910119,-0.0026327,-0.0640618,759
AB,5,300,ABIE,SPP,NA,-1.000371,0.0019237,-0.2422341,1.020285,0.0030838,-0.6019995,0.3282367,0.0026063,-0.554543,38
AB,5,302,ABIE,BAL,NA,-1.000371,0.0019237,-0.2422341,1.020285,0.0030838,-0.6019995,0.3282367,0.0026063,-0.554543,38
AB,5,500,PSEU,MEN,NA,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,5,500,PSEU,MEN,MEN,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,5,500,PSEU,MEN,GLA,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,5,500,PSEU,SPP,NA,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,5,600,LARI,SPP,NA,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,5,601,LARI,DEC,NA,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
